MAG_status	sequencing	file
HQ	Short-read	LIB-MJ148-G5_02.21
HQ	Short-read	LIB-MJ256-H7_03.17
HQ	Short-read	LIB-MJ250-F11_04_v_LIB-MJ365-F11_03.10
MQ	Short-read	LIB-MJ280-F11_02.6
MQ	Short-read	LIB-MJ280-F11_02.6
MQ	Short-read	LIB-MJ227-E5_02.10
HQ	Short-read	LIB-MJ105-H8_01.29
HQ	Short-read	LIB-MJ105-H8_01.29
HQ	Short-read	LIB-MJ306-H8_01.2
HQ	Short-read	LIB-MJ306-H8_01.2
HQ	Short-read	LIB-MJ352-C4_03.4
MQ	Short-read	LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.30
MQ	Short-read	LIB-MJ343-G11_01.16
MQ	Short-read	LIB-MJ343-G11_01.16
HQ	Short-read	LIB-MJ256-H7_03.49
MQ	Short-read	LIB-MJ254-G11_02.24
HQ	Short-read	LIB-MJ130-F1_01.11
MQ	Short-read	LIB-MJ193-E10_01.14
MQ	Short-read	LIB-MJ279-F2_02.6
MQ	Short-read	LIB-MJ306-H8_01.30
HQ	Short-read	LIB-MJ352-B11_03.14
MQ	Short-read	LIB-MJ250-H5_04.9
MQ	Short-read	LIB-MJ250-F11_04_v_LIB-MJ365-F11_03.33
MQ	Short-read	LIB-MJ250-F11_04_v_LIB-MJ365-F11_03.33
HQ	Short-read	LIB-MJ191-C4_04.16
HQ	Short-read	LIB-MJ191-C4_04.16
HQ	Short-read	LIB-MJ191-C4_04.16
HQ	Short-read	LIB-MJ110-D7_04_v_LIB-MJ415-C2_04.10
MQ	Short-read	LIB-MJ193-H10_01_v_LIB-MJ402-F8_04.19
HQ	Short-read	LIB-MJ254-E3_02.18
MQ	Short-read	LIB-MJ190-D2_02.5
MQ	Short-read	LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.45
MQ	Short-read	LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.13
MQ	Short-read	LIB-MJ134-B6_03.19
MQ	Short-read	LIB-MJ134-B6_03.19
MQ	Short-read	LIB-MJ134-B6_03.19
HQ	Short-read	LIB-MJ301-F5_01.24
HQ	Short-read	LIB-MJ259-B6_04.58
HQ	Short-read	LIB-MJ196-F6_02.33
MQ	Short-read	LIB-MJ347-D6_04_v_LIB-MJ368-D6_03.6
MQ	Short-read	LIB-MJ259-G6_04.54
MQ	Short-read	LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.15
MQ	Short-read	LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.15
