genus.Rep	gtdb.r226.genus	new.proposed.genus.names.if.changed
078-MX-10.bin.1.111	Nocardioides	Nocardioides
035-MX-06.bin.1.203	Marmoricola	Marmoricola
091-US1-126.bin.1.353	Ancrocorticia	Ancrocorticia
037-NO2-03.bin.1.67	Microbacterium	Microbacterium
061-AU-11.bin.1.332	Lutibacillus	Lutibacillus
017-IL-02.bin.1.504	Phosphoribacter	Phosphoribacter
025-FI-01.bin.1.451	Nostocoides_A	Nostocoides_A
034-IT-09.bin.1.492	Phycicoccus_A	Phycicoccus_A
066-CH-22.bin.1.152	JADJVJ01	Warsawicoccus
017-IL-02.bin.1.567	Fodinibacter	Fodinibacter
066-CH-22.bin.2.119	Ga0077546	Dubendorfiaria
036-NL-06.bin.1.206	Obscuribacter	Obscuribacter
041-UK2-07.bin.1.139	JAGOYM01	Newcastlevita
098-UY-13.bin.1.516	Trichococcus	Trichococcus
071-HK-01.bin.1.137	Streptococcus	Streptococcus
048-UY-15.bin.2.114	Romboutsia	Romboutsia
016-PL-06.bin.1.76	Ruminococcoides	Ruminococcoides
042-US1-105.bin.2.126	Aliarcobacter	Aliarcobacter
043-US1-27.bin.1.157	Turneriella	Turneriella
001-SG-02.bin.1.135	UBA2033	Hongkongisoma
043-US1-27.bin.2.125	JAEUWI01	Sydneycoccus
053-PL-24.bin.2.317	V1-33	Chicopeebacter
001-SG-02.bin.1.95	JAIBCL01	Puneousia
045-US1-87.bin.1.495	JACKQF01	Punevivens
014-ES-23.bin.1.435	Prosthecobacter	Prosthecobacter
002-MX-07.bin.1.328	CAJCBL01	Morpethicella
018-CH-08.bin.1.247	Lacunisphaera	Lacunisphaera
017-IL-02.bin.1.274	UBA6669	Zillertaliella
098-UY-13.bin.1.121	SXSK01	Montevideoaria
013-IT-11.bin.2.487	UBA9464	Newcastleousia
052-CH-10.bin.1.189	JADLHS01	Varelabacter
027-AU-18.bin.1.140	CAIMTB01	Woodfordiula
065-CA-03.bin.1.625	JADZDL01	Potosiella
035-MX-06.bin.2.3	UBA2386	Zillertalousia
067-CH-23.bin.1.124	JAEUIE01	Yanbuplasma
027-AU-18.bin.c.8	JAIXLE01	Sydneyplasma
015-DE-14.bin.1.300	DASXPC01	Woodfordiaria
058-AR-20.bin.1.199	SXXK01	Josemonas
013-IT-11.bin.2.346	TH-plancto1	Bonnybrookisoma
072-HK-05.bin.1.25	JABDGM01	Morpethisoma
046-US2-03.bin.1.433	Lacipirellula	Lacipirellula
026-AT-03.bin.2.33	Anatilimnocola	Anatilimnocola
032-ES-07.bin.2.219	Aureliella	Aureliella
090-US1-124.bin.1.484	JAFLCP01	JAFLCP01
027-AU-18.bin.1.2	Pirellula_B	Pirellula_B
014-ES-23.bin.2.36	JBEISR01	Shevaousia
050-BE-09.bin.1.437	SCN-70-22	Jeddahius
018-CH-08.bin.1.178	CAIXRL01	Yanbumorpha
073-IL-01.bin.1.239	UBA2353	Bonzicella
065-CA-03.bin.1.267	JADJXV01	Bonzium
004-NL-18.bin.2.356	IGN3	Dahejium
040-UK-14.bin.1.460	JAGPCH01	Thuwalibacter
013-IT-11.bin.1.108	OLB5	Kalispellisoma
039-SE-29.bin.1.95	JADKCL01	JADKCL01
028-AU-34.bin.1.403	ELB16-189	Montevideoana
003-CA-05.bin.1.72	Leadbetterella	Leadbetterella
020-NO1-03.bin.1.403	Daejeonella	Daejeonella
063-AU-32.bin.1.219	JABWCE01	Pincourtiana
064-CA-01.bin.1.149	JADKIH01	Espoococcus
004-NL-18.bin.1.466	JADKJP01	Oslocella
060-AU-05.bin.1.354	JADKJB01	Morpethimorpha
037-NO2-03.bin.1.193	OLB10	Jeddahiana
036-NL-06.bin.1.265	UBA4408	Gentiaria
008-AR-23.bin.1.298	CAIKXD01	Dubendorfium
043-US1-27.bin.1.249	2-12-FULL-35-15	Espoomorpha
