Tree node ID	Genus	Uncharacterised	MiDAS_GCF_1	MiDAS_GCF_2	MiDAS_GCF_3	MiDAS_GCF_4	MiDAS_GCF_5	MiDAS_GCF_6	MiDAS_GCF_7	MiDAS_GCF_8	MiDAS_GCF_9	MiDAS_GCF_10	MiDAS_GCF_11	MiDAS_GCF_12	MiDAS_GCF_13	MiDAS_GCF_14	MiDAS_GCF_15
053-PL-24.bin.1.182'	Dokdonella	86.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
065-CA-03.bin.1.148'	Draconibacterium	93.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
028-AU-34.bin.1.403'	ELB16-189	98.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
063-AU-32.bin.1.252'	F1-60-MAGs163	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
035-MX-06.bin.1.258'	FEB-7	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
093-US1-47.bin.1.555'	Fen-999	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
063-AU-32.bin.1.155'	Ferruginibacter	96.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
090-US1-124.bin.1.717'	Flavobacterium	97.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
023-IN-14.bin.2.241'	Fluviicoccus	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
017-IL-02.bin.1.567'	Fodinibacter	28.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
065-CA-03.bin.1.128'	Fredericiella	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
095-US2-13.bin.1.487'	Ga0074137	4.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
015-DE-14.bin.1.95'	Ga0077523	73.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
066-CH-22.bin.2.119'	Ga0077546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
094-US2-01.bin.1.160'	Ga0077550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
011-CY-01.bin.1.245'	Ga0077555	100	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0
035-MX-06.bin.1.145'	Geothrix	16.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
008-AR-23.bin.1.350'	Gordonia	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
058-AR-20.bin.c.12'	Haliscomenobacter	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
019-HK-04.bin.1.103'	Hydrogenophaga	78.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
