Tree node ID	Genus	Alginate	Cellulose	Curdlan	Pel	PNAG (pga)
010-BE-17.bin.1.109'	JADJJE01	0	0	0	0	0
093-US1-47.bin.1.205'	JADJJR01	0	0	0	0	0
062-AU-26.bin.1.211'	JADJLQ01	0	0	0	0	0
023-IN-14.bin.1.444'	JADJPL01	0	0	0	0	0
094-US2-01.bin.1.789'	JADJRG01	0	0	0	0	0
059-AT-02.bin.1.55'	JADJSS01	0	0	0	0	0
066-CH-22.bin.1.152'	JADJVJ01	0	0	0	0	0
027-AU-18.bin.1.120'	JADJVK01	0	0	0	0	0
065-CA-03.bin.1.267'	JADJXV01	0	0	0	0	0
078-MX-10.bin.1.612'	JADKAV01	0	0	0	0	0
048-UY-15.bin.1.210'	JADKBO01	0	0	0	0	0
039-SE-29.bin.1.95'	JADKCL01	0	0	0	0	0
072-HK-05.bin.1.212'	JADKHE01	0	0	0	0	0
009-AU-01.bin.1.75'	JADKHK01	0	0	0	0	0
040-UK-14.bin.1.269'	JADKHR01	0	0	0	0	0
064-CA-01.bin.1.149'	JADKIH01	0	0	0	0	0
002-MX-07.bin.1.119'	JADKIY01	0	0	0	0	0
060-AU-05.bin.1.354'	JADKJB01	0	0	0	0	0
004-NL-18.bin.1.466'	JADKJP01	0	0	0	0	0
008-AR-23.bin.1.381'	JADLDI01	0	0	0	66.67	0
034-IT-09.bin.c.15'	JADLGJ01	0	0	0	0	0
052-CH-10.bin.1.189'	JADLHS01	0	0	0	0	0
006-MY-06.bin.1.149'	JADZAI01	0	7.14	0	0	0
065-CA-03.bin.1.625'	JADZDL01	0	0	0	0	0
067-CH-23.bin.1.124'	JAEUIE01	0	0	0	0	0
018-CH-08.bin.2.227'	JAEUJQ01	0	0	0	0	0
008-AR-23.bin.1.619'	JAEUJT01	0	0	0	0	0
042-US1-105.bin.1.259'	JAEUKA01	0	0	0	2.56	0
093-US1-47.bin.1.164'	JAEUKQ01	0	0	0	0	0
073-IL-01.bin.1.133'	JAEUMD01	0	0	42.86	63.27	0
020-NO1-03.bin.1.99'	JAEUNB01	0	0	0	0	0
004-NL-18.bin.1.6'	JAEUQQ01	0	0	0	15.38	0
018-CH-08.bin.1.272'	JAEUUX01	0	0	0	0	0
025-FI-01.bin.1.273'	JAEUUZ01	0	0	0	0	0
043-US1-27.bin.2.125'	JAEUWI01	0	0	0	0	0
090-US1-124.bin.1.484'	JAFLCP01	0	0	0	0	0
036-NL-06.bin.1.495'	JAGNNV01	0	0	0	0	0
063-AU-32.bin.c.25'	JAGNTT01	0	0	0	0	10
041-UK2-07.bin.1.139'	JAGOYM01	0	0	0	0	0
040-UK-14.bin.1.460'	JAGPCH01	0	0	0	0	0
021-CZ-11.bin.1.691'	JAGPDF01	0	0	0	0	0
017-IL-02.bin.1.118'	JAGQHB01	0	0	0	0	0
