Tree node ID	Genus
018-CH-08.bin.c.9'	JALHOQ01
095-US2-13.bin.1.487'	Ga0074137
014-ES-23.bin.c.10'	Pseudobdellovibrio
041-UK2-07.bin.1.163'	JBEIFN01
008-AR-23.bin.1.344'	WYBB01
008-AR-23.bin.1.619'	JAEUJT01
028-AU-34.bin.1.194'	Archangium_A
018-CH-08.bin.2.227'	JAEUJQ01
094-US2-01.bin.1.160'	Ga0077550
094-US2-01.bin.1.789'	JADJRG01
061-AU-11.bin.2.99'	Nannocystis
042-US1-105.bin.1.259'	JAEUKA01
017-IL-02.bin.1.19'	UBA2376
003-CA-05.bin.1.10'	JABFXX01
025-FI-01.bin.1.312'	CAISKJ01
004-NL-18.bin.1.123'	SCUS01
016-PL-06.bin.1.797'	JBBSAT01
010-BE-17.bin.1.109'	JADJJE01
013-IT-11.bin.1.606'	CAITIQ01
094-US2-01.bin.1.358'	Labilithrix
017-IL-02.bin.1.51'	JAAFHV01
035-MX-06.bin.1.145'	Geothrix
021-CZ-11.bin.1.691'	JAGPDF01
033-IN-11.bin.1.442'	JACTMI01
008-AR-23.bin.1.381'	JADLDI01
065-CA-03.bin.1.197'	OLB17
006-MY-06.bin.c.45'	JADIYM01
036-NL-06.bin.1.495'	JAGNNV01
004-NL-18.bin.1.6'	JAEUQQ01
076-IN-18.bin.1.12'	CADEFD01
066-CH-22.bin.1.32'	WHSN01
090-US1-124.bin.1.494'	Reyranella
093-US1-47.bin.1.164'	JAEUKQ01
023-IN-14.bin.1.304'	Defluviicoccus
067-CH-23.bin.1.322'	Sphingobium
052-CH-10.bin.1.90'	Aquisediminimonas
058-AR-20.bin.1.120'	Sphingorhabdus_B
013-IT-11.bin.1.124'	Novosphingobium
090-US1-124.bin.1.30'	SZUA-430
006-MY-06.bin.1.149'	JADZAI01
018-CH-08.bin.1.184'	Phenylobacterium
043-US1-27.bin.1.163'	Vitreimonas
014-ES-23.bin.1.416'	UBA7672
073-IL-01.bin.1.81'	Paracoccus
016-PL-06.bin.1.122'	Albidovulum
090-US1-124.bin.1.571'	TMP-24
045-US1-87.bin.1.37'	QY30
015-DE-14.bin.c.1'	Cypionkella
052-CH-10.bin.1.119'	Tabrizicola
058-AR-20.bin.1.142'	Pseudogemmobacter
004-NL-18.bin.2.186'	JAAKGP01
028-AU-34.bin.1.61'	Rhodoplanes
025-FI-01.bin.1.274'	JAJXWB01
