Tree node ID	Genus	Genus_new
027-AU-18.bin.1.140'	CAIMTB01	Woodfordiula
035-MX-06.bin.1.274'	Nitrospira_A	Nitrospira_A
040-UK-14.bin.1.61'	Vicinibacter	Vicinibacter
033-IN-11.bin.1.442'	JACTMI01	Haagimorpha
002-MX-07.bin.1.119'	JADKIY01	Durhamimorpha
038-SE-10.bin.1.18'	Hyphomicrobium_B	Hyphomicrobium_B
013-IT-11.bin.1.129'	JAGQSI01	Leonium
018-CH-08.bin.1.247'	Lacunisphaera	Lacunisphaera
036-NL-06.bin.1.206'	Obscuribacter	Obscuribacter
015-DE-14.bin.1.95'	Ga0077523	Yanbubacter
025-FI-01.bin.1.451'	Nostocoides_A	Nostocoides_A
018-CH-08.bin.1.366'	PBB1	PBB1
014-ES-23.bin.1.37'	Proximibacter	Proximibacter
016-PL-06.bin.1.76'	Ruminococcoides	Ruminococcoides
008-AR-23.bin.1.350'	Gordonia	Gordonia
061-AU-11.bin.1.630'	Tepidiforma	Tepidiforma
078-MX-10.bin.1.111'	Nocardioides	Nocardioides
023-IN-14.bin.1.444'	JADJPL01	Potosiplasma
019-HK-04.bin.1.103'	Hydrogenophaga	Hydrogenophaga
027-AU-18.bin.1.31'	JAAZBK01	Karnatakacella
001-SG-02.bin.1.226'	Competibacter_A	Competibacter_A
058-AR-20.bin.1.199'	SXXK01	Josemonas
001-SG-02.bin.1.135'	UBA2033	Hongkongisoma
017-IL-02.bin.1.51'	JAAFHV01	Oslococcus
016-PL-06.bin.1.122'	Albidovulum	Albidovulum
098-UY-13.bin.1.328'	Rhodoferax_C	Rhodoferax_C
064-CA-01.bin.1.307'	Amarobacillus	Amarobacillus
001-SG-02.bin.1.95'	JAIBCL01	Puneousia
090-US1-124.bin.1.295'	JABFRJ01	Morpethiaria
095-US2-13.bin.1.640'	JAGQSN01	Telaviviplasma
098-UY-13.bin.1.166'	Zoogloea	Zoogloea
014-ES-23.bin.1.210'	Sphaerotilus	Sphaerotilus
023-IN-14.bin.1.603'	Dermatobacter	Dermatobacter
017-IL-02.bin.1.19'	UBA2376	Kelownamorpha
002-MX-07.bin.1.567'	Accumulibacter	Accumulibacter
002-MX-07.bin.1.575'	AWTP1-13	Olatheus
073-IL-01.bin.1.863'	Baekduia	Baekduia
