genome_id,gtdb_classification,Database
034-IT-09.bin.1.370,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__JADIYW01;g__JAGQYH01;s__,MiDAS Global
034-IT-09.bin.1.372,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__ZC4RG30;s__,MiDAS Global
034-IT-09.bin.1.375,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA9320;g__JABWCE01;s__,MiDAS Global
034-IT-09.bin.1.377,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__SCN-69-37;g__SCN-69-37;s__,MiDAS Global
034-IT-09.bin.1.389,d__Bacteria;p__Myxococcota;c__UBA727;o__UBA727;f__JAUIJE01;g__;s__,MiDAS Global
034-IT-09.bin.1.391,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__Fredericiella;s__,MiDAS Global
034-IT-09.bin.1.395,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,MiDAS Global
034-IT-09.bin.1.400,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__PNKF01;s__,MiDAS Global
034-IT-09.bin.1.405,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Andeanibacterium;s__,MiDAS Global
034-IT-09.bin.1.411,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp016703105,MiDAS Global
034-IT-09.bin.1.415,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ideonella_A;s__,MiDAS Global
034-IT-09.bin.1.420,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__JADJTT01;s__,MiDAS Global
034-IT-09.bin.1.423,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__SZUA-5;g__JADKFD01;s__,MiDAS Global
034-IT-09.bin.1.430,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__Phenylobacterium sp030693625,MiDAS Global
034-IT-09.bin.1.432,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA9320;g__JABWCE01;s__,MiDAS Global
034-IT-09.bin.1.445,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingorhabdus_B;s__Sphingorhabdus_B sp016707885,MiDAS Global
034-IT-09.bin.1.447,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__JADKJB01;s__,MiDAS Global
034-IT-09.bin.1.455,d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Obscuribacterales;f__Obscuribacteraceae;g__Ga0077546;s__Ga0077546 sp001464165,MiDAS Global
034-IT-09.bin.1.456,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__,MiDAS Global
034-IT-09.bin.1.464,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__,MiDAS Global
034-IT-09.bin.1.466,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__JADKBO01;s__,MiDAS Global
034-IT-09.bin.1.474,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__Nitrosomonas sp902826915,MiDAS Global
034-IT-09.bin.1.478,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__Nitrosomonas sp016708955,MiDAS Global
034-IT-09.bin.1.49,d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__PSRN01;s__,MiDAS Global
034-IT-09.bin.1.491,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingorhabdus_B;s__,MiDAS Global
034-IT-09.bin.1.492,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Dermatophilaceae;g__Phycicoccus_A;s__Phycicoccus_A elongatus,MiDAS Global
034-IT-09.bin.1.497,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__Arctic95D-9;s__Arctic95D-9 sp002344215,MiDAS Global
034-IT-09.bin.1.498,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__UBA7672;s__,MiDAS Global
034-IT-09.bin.1.50,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__CAILUG01;s__,MiDAS Global
034-IT-09.bin.1.51,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA9973;g__UBA4124;s__,MiDAS Global
034-IT-09.bin.1.510,d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Leptospirales;f__Leptospiraceae;g__UBA2033;s__UBA2033 sp016711485,MiDAS Global
034-IT-09.bin.1.518,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Draconibacterium;s__,MiDAS Global
034-IT-09.bin.1.520,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__Arctic95D-9;s__,MiDAS Global
034-IT-09.bin.1.525,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter;s__,MiDAS Global
034-IT-09.bin.1.532,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__JADIYW01;g__JADJSS01;s__JADJSS01 sp016711605,MiDAS Global
034-IT-09.bin.1.54,d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Levybacterales;f__UBA12049;g__JACDET01;s__,MiDAS Global
034-IT-09.bin.1.61,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Moranbacterales;f__UBA1568;g__JAGOSP01;s__JAGOSP01 sp018062205,MiDAS Global
034-IT-09.bin.1.64,d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Miltoncostaeales;f__Miltoncostaeaceae;g__JAGQUM01;s__,MiDAS Global
034-IT-09.bin.1.65,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__JABFRJ01;s__,MiDAS Global
034-IT-09.bin.1.70,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__JAGOAT01;f__JAGOAT01;g__JAGOAT01;s__JAGOAT01 sp017983775,MiDAS Global
034-IT-09.bin.1.71,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__JADJOA01;s__,MiDAS Global
034-IT-09.bin.1.75,d__Bacteria;p__Bdellovibrionota_G;c__JALEGL01;o__JALEGL01;f__JAGRMV01;g__;s__,MiDAS Global
034-IT-09.bin.1.77,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__UBA1573;s__UBA1573 sp002425415,MiDAS Global
034-IT-09.bin.1.79,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__ZC4RG30;s__,MiDAS Global
034-IT-09.bin.1.84,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__JADJTR01;s__,MiDAS Global
034-IT-09.bin.1.87,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;s__ELB16-189 sp016712035,MiDAS Global
034-IT-09.bin.1.90,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA9973;g__CALRFE01;s__,MiDAS Global
034-IT-09.bin.1.91,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__CANJQJ01;s__,MiDAS Global
034-IT-09.bin.1.93,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__CAINMV01;g__;s__,MiDAS Global
034-IT-09.bin.1.98,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA9973;g__UBA8515;s__,MiDAS Global
034-IT-09.bin.2.10,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__Lentimicrobium;s__,MiDAS Global
034-IT-09.bin.2.104,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__,MiDAS Global
034-IT-09.bin.2.12,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__;s__,MiDAS Global
034-IT-09.bin.2.141,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__UBA7239;g__UBA7239;s__,MiDAS Global
034-IT-09.bin.2.186,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Alteraurantiacibacter;s__,MiDAS Global
034-IT-09.bin.2.204,d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__CFX8;g__;s__,MiDAS Global
034-IT-09.bin.2.206,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Propioniciclava;s__,MiDAS Global
034-IT-09.bin.2.213,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__B-17B0;f__B-17BO;g__UBA4416;s__UBA4416 sp016708845,MiDAS Global
034-IT-09.bin.2.221,d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Nannocystis;s__,MiDAS Global
034-IT-09.bin.2.27,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA9973;g__;s__,MiDAS Global
034-IT-09.bin.2.292,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__,MiDAS Global
034-IT-09.bin.2.298,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__JADJJE01;s__,MiDAS Global
034-IT-09.bin.2.318,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__,MiDAS Global
034-IT-09.bin.2.331,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Phnomibacter;s__,MiDAS Global
034-IT-09.bin.2.44,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__,MiDAS Global
034-IT-09.bin.2.47,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,MiDAS Global
034-IT-09.bin.3.90,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp000435835,MiDAS Global
034-IT-09.bin.c.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax;s__,MiDAS Global
034-IT-09.bin.c.12,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp016717305,MiDAS Global
034-IT-09.bin.c.14,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__UBA2383;s__,MiDAS Global
034-IT-09.bin.c.15,d__Bacteria;p__Omnitrophota;c__Koll11;o__Zapsychrales;f__JANLHA01;g__JADLGJ01;s__,MiDAS Global
034-IT-09.bin.c.16,d__Bacteria;p__Bdellovibrionota_G;c__JALEGL01;o__JALEGL01;f__JAGRMV01;g__;s__,MiDAS Global
034-IT-09.bin.c.17,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA7683;g__;s__,MiDAS Global
034-IT-09.bin.c.18,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__CSBR16-119;g__JAUPTX01;s__,MiDAS Global
034-IT-09.bin.c.19,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__CSBR16-119;g__JAUPTX01;s__,MiDAS Global
034-IT-09.bin.c.20,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA9973;g__UBA4124;s__,MiDAS Global
035-MX-06.bin.1.10,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__CAIKUF01;s__,MiDAS Global
035-MX-06.bin.1.103,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium sp022652485,MiDAS Global
035-MX-06.bin.1.105,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA2386;f__UBA2386;g__JADZDL01;s__,MiDAS Global
035-MX-06.bin.1.108,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Paracaedibacterales;f__JAKBAR01;g__JAKBAR01;s__JAKBAR01 sp937896365,MiDAS Global
035-MX-06.bin.1.11,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA9973;g__HK-STAS-PATE-34;s__,MiDAS Global
035-MX-06.bin.1.110,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__JADJOU01;g__JADJOU01;s__,MiDAS Global
035-MX-06.bin.1.111,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__UBA1930;s__,MiDAS Global
035-MX-06.bin.1.115,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__OLB17;s__,MiDAS Global
035-MX-06.bin.1.118,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__,MiDAS Global
035-MX-06.bin.1.119,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__Lentimicrobium;s__Lentimicrobium sp016788045,MiDAS Global
035-MX-06.bin.1.122,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__JADJJE01;s__,MiDAS Global
035-MX-06.bin.1.123,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__S36-B12;f__S36-B12;g__UBA10649;s__,MiDAS Global
035-MX-06.bin.1.124,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA9973;g__CALRET01;s__,MiDAS Global
035-MX-06.bin.1.125,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__B-17B0;f__B-17BO;g__UBA2475;s__,MiDAS Global
035-MX-06.bin.1.128,d__Bacteria;p__Bdellovibrionota;c__UBA1018;o__UBA1018;f__CAIMNF01;g__CAIMNF01;s__,MiDAS Global
035-MX-06.bin.1.13,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__JAEUNJ01;s__JAEUNJ01 sp016791145,MiDAS Global
035-MX-06.bin.1.145,d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Geothrix;s__Geothrix odensensis,MiDAS Global
035-MX-06.bin.1.146,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA9320;g__JABWCE01;s__,MiDAS Global
035-MX-06.bin.1.150,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA9973;g__CALRFE01;s__,MiDAS Global
035-MX-06.bin.1.153,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__CSBR16-119;g__JAUPTX01;s__,MiDAS Global
035-MX-06.bin.1.154,d__Bacteria;p__Patescibacteria;c__JAEDAM01;o__Absconditabacterales;f__Absconditicoccaceae;g__;s__,MiDAS Global
035-MX-06.bin.1.157,d__Bacteria;p__Omnitrophota;c__Koll11;o__Zapsychrales;f__JANLHA01;g__JADLGJ01;s__,MiDAS Global
035-MX-06.bin.1.161,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA918;g__OLB19;s__,MiDAS Global
035-MX-06.bin.1.167,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter;s__,MiDAS Global
035-MX-06.bin.1.18,d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__UBA4427;g__UBA4427;s__,MiDAS Global
035-MX-06.bin.1.201,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Moranbacterales;f__UBA1568;g__JAGOSP01;s__,MiDAS Global
035-MX-06.bin.1.203,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Marmoricola;s__,MiDAS Global
035-MX-06.bin.1.214,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Usitatibacteraceae;g__FEB-7;s__,MiDAS Global
035-MX-06.bin.1.216,d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__RBG-16-71-46;f__RBG-16-71-46;g__CAIXRL01;s__,MiDAS Global
035-MX-06.bin.1.228,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__SCN-70-22;s__,MiDAS Global
035-MX-06.bin.1.229,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__JADIYW01;g__;s__,MiDAS Global
035-MX-06.bin.1.231,d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__FEN-1173;f__FEN-1173;g__JADKHR01;s__,MiDAS Global
035-MX-06.bin.1.232,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA955;g__;s__,MiDAS Global
035-MX-06.bin.1.235,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azonexus;s__Azonexus sp016790845,MiDAS Global
035-MX-06.bin.1.242,d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA8401;g__UBA8401;s__,MiDAS Global
035-MX-06.bin.1.245,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__,MiDAS Global
035-MX-06.bin.1.254,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__AWTP1-18;s__,MiDAS Global
035-MX-06.bin.1.256,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Ga0077555;s__,MiDAS Global
035-MX-06.bin.1.258,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Usitatibacteraceae;g__FEB-7;s__,MiDAS Global
035-MX-06.bin.1.26,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__Polyangium;s__,MiDAS Global
035-MX-06.bin.1.261,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA8139;g__JAKOVR01;s__,MiDAS Global
035-MX-06.bin.1.263,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola;s__,MiDAS Global
035-MX-06.bin.1.265,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__BACL12;g__UBA7236;s__UBA7236 sp029571985,MiDAS Global
035-MX-06.bin.1.266,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__B-17B0;f__B-17BO;g__JAHEYG01;s__,MiDAS Global
035-MX-06.bin.1.269,d__Bacteria;p__Bdellovibrionota;c__UBA2361;o__SZUA-149;f__SZUA-149;g__JAIYCX01;s__,MiDAS Global
035-MX-06.bin.1.274,d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_A;s__Nitrospira_A sp009594855,MiDAS Global
035-MX-06.bin.1.277,d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__JAEUJZ01;g__JAEUKA01;s__,MiDAS Global
035-MX-06.bin.1.28,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__JADIYW01;g__JADJSS01;s__,MiDAS Global
035-MX-06.bin.1.280,d__Bacteria;p__Omnitrophota;c__Koll11;o__Zapsychrales;f__JANLHA01;g__JADLGJ01;s__,MiDAS Global
035-MX-06.bin.1.281,d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__UBA1609;g__RBG-16-40-8;s__,MiDAS Global
035-MX-06.bin.1.283,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__B-17B0;f__B-17BO;g__UBA2475;s__,MiDAS Global
035-MX-06.bin.1.287,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__LD1;g__Bog-950;s__,MiDAS Global
035-MX-06.bin.1.291,d__Bacteria;p__Omnitrophota;c__Koll11;o__Zapsychrales;f__JANLHA01;g__JADLGJ01;s__,MiDAS Global
035-MX-06.bin.1.3,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Fluviicola;s__,MiDAS Global
035-MX-06.bin.1.308,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__ER46;s__,MiDAS Global
035-MX-06.bin.1.313,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__CADEFT01;s__CADEFT01 sp016789755,MiDAS Global
035-MX-06.bin.1.317,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Moranbacterales;f__UBA1568;g__SSEF01;s__,MiDAS Global
035-MX-06.bin.1.32,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Microtrichaceae;g__JADJBW01;s__JADJBW01 sp016703525,MiDAS Global
035-MX-06.bin.1.321,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__HK-STAS-PATE-42;g__HK-STAS-PATE-42;s__,MiDAS Global
035-MX-06.bin.1.322,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__JAUPVS01;g__;s__,MiDAS Global
035-MX-06.bin.1.323,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Moranbacterales;f__UBA1568;g__SSEF01;s__,MiDAS Global
035-MX-06.bin.1.328,d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Leptospirales;f__Leptonemataceae;g__;s__,MiDAS Global
035-MX-06.bin.1.335,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__;s__,MiDAS Global
035-MX-06.bin.1.336,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__SZUA-47;g__RFTN01;s__,MiDAS Global
035-MX-06.bin.1.338,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__GCA-2746885;s__,MiDAS Global
035-MX-06.bin.1.339,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__GCA-2746885;s__,MiDAS Global
035-MX-06.bin.1.341,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__HK-STAS-PATE-42;g__;s__,MiDAS Global
035-MX-06.bin.1.347,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA918;g__;s__,MiDAS Global
035-MX-06.bin.1.351,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__AWTP1-31;g__;s__,MiDAS Global
035-MX-06.bin.1.366,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA5272;g__JALHNF01;s__,MiDAS Global
035-MX-06.bin.1.374,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA6065;g__CAIMLU01;s__,MiDAS Global
035-MX-06.bin.1.375,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__,MiDAS Global
035-MX-06.bin.1.378,d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA1400;f__UBA12108;g__GWF;s__,MiDAS Global
035-MX-06.bin.1.381,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__Ferruginibacter sp017303335,MiDAS Global
035-MX-06.bin.1.415,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Dermatophilaceae;g__Tetrasphaera_A;s__,MiDAS Global
035-MX-06.bin.1.429,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Draconibacterium;s__,MiDAS Global
035-MX-06.bin.1.442,d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Geothrix;s__,MiDAS Global
035-MX-06.bin.1.445,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__JAJTFW01;s__,MiDAS Global
035-MX-06.bin.1.449,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Dermatophilaceae;g__Lutibacillus;s__,MiDAS Global
035-MX-06.bin.1.450,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__,MiDAS Global
035-MX-06.bin.1.451,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Thauera;s__Thauera aminoaromatica,MiDAS Global
035-MX-06.bin.1.48,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium sp016787805,MiDAS Global
035-MX-06.bin.1.483,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;s__,MiDAS Global
035-MX-06.bin.1.485,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__Competibacter_A;s__,MiDAS Global
035-MX-06.bin.1.489,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__WHSN01;s__,MiDAS Global
035-MX-06.bin.1.493,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA7683;g__;s__,MiDAS Global
035-MX-06.bin.1.498,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__JJ008 sp014879565,MiDAS Global
