genome_id,gtdb_classification,Database
001-SG-02.bin.1.32,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;s__,MiDAS Global
001-SG-02.bin.1.322,d__Bacteria;p__Patescibacteria;c__ABY1;o__SBBC01;f__CAIJZX01;g__;s__,MiDAS Global
001-SG-02.bin.1.323,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__RPQJ01;s__,MiDAS Global
001-SG-02.bin.1.33,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__JADIYW01;g__JADJSS01;s__,MiDAS Global
001-SG-02.bin.1.332,d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__JAHBWI01;s__JAHBWI01 sp019637075,MiDAS Global
001-SG-02.bin.1.382,d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_D;s__,MiDAS Global
001-SG-02.bin.1.388,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__SZUA-430;s__,MiDAS Global
001-SG-02.bin.1.400,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__,MiDAS Global
001-SG-02.bin.1.42,d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__F11;f__F11;g__;s__,MiDAS Global
001-SG-02.bin.1.43,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__UBA2359;g__JAEUUX01;s__JAEUUX01 sp016787295,MiDAS Global
001-SG-02.bin.1.435,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Aquabacterium_A;s__,MiDAS Global
001-SG-02.bin.1.441,d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_A;s__,MiDAS Global
001-SG-02.bin.1.442,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__,MiDAS Global
001-SG-02.bin.1.444,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__GCA-002686595;g__JADJNY01;s__,MiDAS Global
001-SG-02.bin.1.446,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__;s__,MiDAS Global
001-SG-02.bin.1.447,d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__;s__,MiDAS Global
001-SG-02.bin.1.45,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__WHSN01;s__WHSN01 sp018268955,MiDAS Global
001-SG-02.bin.1.47,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Limisphaerales;f__UBA11320;g__UBA11320;s__,MiDAS Global
001-SG-02.bin.1.496,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;s__,MiDAS Global
001-SG-02.bin.1.498,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;s__,MiDAS Global
001-SG-02.bin.1.502,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Ga0077539;g__;s__,MiDAS Global
001-SG-02.bin.1.504,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Accumulibacter;s__,MiDAS Global
